QW917_000002	extracellular region;lytic vacuole;cellular anatomical entity;membrane;cytoplasm;lysosome;intracellular membrane-bounded organelle;vacuole;intracellular organelle;membrane-bounded organelle;intracellular anatomical structure;organelle;extracellular space;peptidase activity;hydrolase activity;cysteine-type endopeptidase activity;cysteine-type peptidase activity;catalytic activity;endopeptidase activity;catalytic activity, acting on a protein;cellular process;catabolic process;organonitrogen compound catabolic process;proteolysis;protein catabolic process;metabolic process;protein metabolic process;protein metabolic process;proteolysis involved in protein catabolic process;nitrogen compound metabolic process;organonitrogen compound metabolic process;macromolecule catabolic process;cellular metabolic process;obsolete cellular macromolecule metabolic process;obsolete cellular macromolecule catabolic process;organic substance catabolic process;cellular catabolic process;primary metabolic process;organic substance metabolic process;protein catabolic process;macromolecule metabolic process"
QW917_007621	extracellular matrix;extracellular region;extracellular space;cell periphery;collagen-containing extracellular matrix;external encapsulating structure;cellular anatomical entity
QW917_007621	extracellular matrix;extracellular region;extracellular space;cell periphery;collagen-containing extracellular matrix;external encapsulating structure;cellular anatomical entity
QW917_007622	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen;heterocyclic compound binding;organic cyclic compound binding;oxidoreductase activity;catalytic activity;monooxygenase activity;tetrapyrrole binding;binding;heme binding;cholesterol metabolic process;small molecule metabolic process;sterol metabolic process;organic substance metabolic process;metabolic process;alcohol metabolic process;steroid metabolic process;organic cyclic compound catabolic process;organic hydroxy compound metabolic process;secondary alcohol metabolic process;organic cyclic compound metabolic process;organic substance catabolic process;lipid metabolic process;catabolic process;steroid catabolic process;lipid catabolic process;primary metabolic process;small molecule catabolic process"
QW917_007623	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen;heterocyclic compound binding;organic cyclic compound binding;oxidoreductase activity;catalytic activity;monooxygenase activity;tetrapyrrole binding;binding;heme binding;cholesterol metabolic process;small molecule metabolic process;sterol metabolic process;organic substance metabolic process;metabolic process;alcohol metabolic process;steroid metabolic process;organic cyclic compound catabolic process;organic hydroxy compound metabolic process;secondary alcohol metabolic process;organic cyclic compound metabolic process;organic substance catabolic process;lipid metabolic process;catabolic process;steroid catabolic process;lipid catabolic process;primary metabolic process;small molecule catabolic process"
QW917_007630	obsolete intrinsic component of plasma membrane;plasma membrane protein complex;cation channel complex;protein-containing complex;obsolete intrinsic component of membrane;plasma membrane;plasma membrane;membrane protein complex;transporter complex;cell periphery;membrane;transmembrane transporter complex;monoatomic ion channel complex;membrane;cellular anatomical entity;monoatomic cation transmembrane transporter activity;protein binding;calcium-activated potassium channel activity;monoatomic ion transmembrane transporter activity;monoatomic cation channel activity;channel activity;potassium channel activity;passive transmembrane transporter activity;transporter activity;binding;monoatomic ion channel activity;channel regulator activity;metal ion transmembrane transporter activity;molecular function regulator activity;inorganic cation transmembrane transporter activity;gated channel activity;potassium ion transmembrane transporter activity;calcium activated cation channel activity;potassium channel regulator activity;inorganic molecular entity transmembrane transporter activity;transmembrane transporter activity;monoatomic ion gated channel activity;detection of stimulus;response to chemical;response to stimulus
QW917_007631	membrane;cytosol;cytoplasm;intracellular anatomical structure;cellular anatomical entity;protein kinase binding;protein binding;binding;kinase binding;enzyme binding;localization;protein localization;macromolecule localization
QW917_035797	"obsolete intrinsic component of plasma membrane;protein-containing complex;obsolete intrinsic component of membrane;plasma membrane;plasma membrane;membrane;cell periphery;receptor complex;membrane;cellular anatomical entity;phosphotransferase activity, alcohol group as acceptor;kinase activity;transferase activity;signaling receptor activity;transmembrane signaling receptor activity;transmembrane receptor protein kinase activity;molecular transducer activity;protein kinase activity;catalytic activity;catalytic activity, acting on a protein;protein tyrosine kinase activity;transferase activity, transferring phosphorus-containing groups;transmembrane receptor protein tyrosine kinase activity;cellular process;positive regulation of biological process;positive regulation of cellular process;regulation of phosphate metabolic process;positive regulation of catalytic activity;response to stimulus;signal transduction;enzyme-linked receptor protein signaling pathway;regulation of metabolic process;regulation of phosphorus metabolic process;positive regulation of cellular metabolic process;regulation of catalytic activity;phosphorus metabolic process;metabolic process;positive regulation of metabolic process;cell communication;regulation of transferase activity;positive regulation of phosphorus metabolic process;biological regulation;anatomical structure development;positive regulation of transferase activity;multicellular organism development;regulation of molecular function;regulation of phosphorylation;positive regulation of molecular function;developmental process;cell surface receptor signaling pathway;cellular metabolic process;regulation of cellular metabolic process;phosphate-containing compound metabolic process;regulation of biological process;multicellular organismal process;transmembrane receptor protein tyrosine kinase signaling pathway;regulation of cellular process;cellular response to stimulus;signaling;phosphorylation;positive regulation of phosphate metabolic process;positive regulation of phosphorylation;regulation of kinase activity;positive regulation of kinase activity"
QW917_007663	extracellular region;extracellular space;cellular anatomical entity;binding;carbohydrate binding
QW917_007673	extracellular region;extracellular space;cellular anatomical entity
QW917_007675	extracellular region;extracellular space;cellular anatomical entity;binding;carbohydrate binding
QW917_007678	extracellular region;extracellular space;cellular anatomical entity;binding;carbohydrate binding
QW917_007679	intracellular anatomical structure;membrane;intracellular membrane-bounded organelle;intracellular organelle;membrane-bounded organelle;nucleus;organelle;cellular anatomical entity;mRNA binding;RNA binding;heterocyclic compound binding;organic cyclic compound binding;nucleic acid binding;binding;cellular process;RNA splicing;RNA metabolic process;regulation of metabolic process;metabolic process;regulation of nitrogen compound metabolic process;organic cyclic compound metabolic process;gene expression;regulation of RNA splicing;biological regulation;nitrogen compound metabolic process;RNA processing;cellular metabolic process;cellular aromatic compound metabolic process;regulation of cellular metabolic process;regulation of RNA metabolic process;regulation of macromolecule metabolic process;regulation of primary metabolic process;regulation of biological process;regulation of gene expression;regulation of nucleobase-containing compound metabolic process;regulation of cellular process;primary metabolic process;nucleic acid metabolic process;nucleobase-containing compound metabolic process;cellular nitrogen compound metabolic process;organic substance metabolic process;macromolecule metabolic process;heterocycle metabolic process
QW917_007680	"phosphotransferase activity, alcohol group as acceptor;kinase activity;transferase activity;protein kinase activity;catalytic activity;catalytic activity, acting on a protein;transferase activity, transferring phosphorus-containing groups;chromosome segregation;negative regulation of cell cycle process;meiotic sister chromatid cohesion;reproduction;mitotic cell cycle;negative regulation of mitotic sister chromatid separation;mitotic cell cycle checkpoint signaling;cell communication;cellular component organization;meiotic cell cycle;negative regulation of chromosome separation;meiotic sister chromatid segregation;mitotic sister chromatid segregation;negative regulation of cellular component organization;sister chromatid cohesion;regulation of sister chromatid segregation;regulation of biological process;regulation of cellular process;signaling;cell cycle process;metaphase/anaphase transition of mitotic cell cycle;mitotic nuclear division;negative regulation of organelle organization;nuclear chromosome segregation;sister chromatid segregation;organelle organization;meiosis II cell cycle process;cell cycle checkpoint signaling;regulation of nuclear division;regulation of cellular component organization;mitotic cell cycle phase transition;response to stimulus;regulation of mitotic metaphase/anaphase transition;regulation of mitotic cell cycle phase transition;negative regulation of mitotic cell cycle phase transition;nuclear division;meiosis II;regulation of cell cycle;negative regulation of metaphase/anaphase transition of cell cycle;regulation of chromosome segregation;meiotic cell cycle process;negative regulation of mitotic cell cycle;chromosome organization;negative regulation of mitotic metaphase/anaphase transition;mitotic sister chromatid separation;mitotic cell cycle process;negative regulation of cell cycle phase transition;chromosome organization involved in meiotic cell cycle;reproductive process;signal transduction;negative regulation of nuclear division;regulation of organelle organization;regulation of mitotic sister chromatid segregation;negative regulation of chromosome organization;mitotic spindle assembly checkpoint signaling;chromosome separation;negative regulation of mitotic nuclear division;metaphase/anaphase transition of cell cycle;cell cycle phase transition;meiotic chromosome segregation;intracellular signal transduction;negative regulation of mitotic sister chromatid segregation;regulation of chromosome separation;cellular process;organelle fission;regulation of mitotic sister chromatid separation;negative regulation of chromosome segregation;regulation of mitotic cell cycle;biological regulation;cell cycle;regulation of mitotic nuclear division;negative regulation of cellular process;regulation of cell cycle phase transition;cellular response to stimulus;regulation of chromosome organization;negative regulation of sister chromatid segregation;regulation of cell cycle process;cellular component organization or biogenesis;meiotic nuclear division;regulation of metaphase/anaphase transition of cell cycle;negative regulation of biological process;negative regulation of cell cycle"
QW917_007699	"sequence-specific double-stranded DNA binding;transcription cis-regulatory region binding;DNA-binding transcription factor activity, RNA polymerase II-specific;RNA polymerase II cis-regulatory region sequence-specific DNA binding;cis-regulatory region sequence-specific DNA binding;heterocyclic compound binding;organic cyclic compound binding;double-stranded DNA binding;sequence-specific DNA binding;nucleic acid binding;transcription regulator activity;DNA-binding transcription factor activity;RNA polymerase II transcription regulatory region sequence-specific DNA binding;DNA binding;binding;transcription regulatory region nucleic acid binding;obsolete cellular macromolecule biosynthetic process;regulation of RNA biosynthetic process;cellular process;obsolete regulation of nucleic acid-templated transcription;transcription by RNA polymerase II;regulation of transcription by RNA polymerase II;aromatic compound biosynthetic process;RNA metabolic process;organic substance biosynthetic process;regulation of metabolic process;metabolic process;obsolete nucleic acid-templated transcription;regulation of cellular biosynthetic process;nucleobase-containing compound biosynthetic process;RNA biosynthetic process;regulation of nitrogen compound metabolic process;organic cyclic compound metabolic process;gene expression;biological regulation;cellular biosynthetic process;DNA-templated transcription;nitrogen compound metabolic process;cellular metabolic process;regulation of cellular metabolic process;cellular aromatic compound metabolic process;regulation of RNA metabolic process;regulation of primary metabolic process;regulation of macromolecule metabolic process;regulation of biological process;obsolete cellular macromolecule metabolic process;regulation of gene expression;regulation of nucleobase-containing compound metabolic process;regulation of macromolecule biosynthetic process;cellular nitrogen compound biosynthetic process;biosynthetic process;organic cyclic compound biosynthetic process;regulation of cellular process;primary metabolic process;nucleic acid metabolic process;regulation of biosynthetic process;nucleobase-containing compound metabolic process;cellular nitrogen compound metabolic process;heterocycle biosynthetic process;organic substance metabolic process;obsolete regulation of cellular macromolecule biosynthetic process;regulation of DNA-templated transcription;macromolecule metabolic process;heterocycle metabolic process;macromolecule biosynthetic process"
QW917_007699	"sequence-specific double-stranded DNA binding;transcription cis-regulatory region binding;DNA-binding transcription factor activity, RNA polymerase II-specific;RNA polymerase II cis-regulatory region sequence-specific DNA binding;cis-regulatory region sequence-specific DNA binding;heterocyclic compound binding;organic cyclic compound binding;double-stranded DNA binding;sequence-specific DNA binding;nucleic acid binding;transcription regulator activity;DNA-binding transcription factor activity;RNA polymerase II transcription regulatory region sequence-specific DNA binding;DNA binding;binding;transcription regulatory region nucleic acid binding;obsolete cellular macromolecule biosynthetic process;regulation of RNA biosynthetic process;cellular process;obsolete regulation of nucleic acid-templated transcription;transcription by RNA polymerase II;regulation of transcription by RNA polymerase II;aromatic compound biosynthetic process;RNA metabolic process;organic substance biosynthetic process;regulation of metabolic process;metabolic process;obsolete nucleic acid-templated transcription;regulation of cellular biosynthetic process;nucleobase-containing compound biosynthetic process;RNA biosynthetic process;regulation of nitrogen compound metabolic process;organic cyclic compound metabolic process;gene expression;biological regulation;cellular biosynthetic process;DNA-templated transcription;nitrogen compound metabolic process;cellular metabolic process;regulation of cellular metabolic process;cellular aromatic compound metabolic process;regulation of RNA metabolic process;regulation of primary metabolic process;regulation of macromolecule metabolic process;regulation of biological process;obsolete cellular macromolecule metabolic process;regulation of gene expression;regulation of nucleobase-containing compound metabolic process;regulation of macromolecule biosynthetic process;cellular nitrogen compound biosynthetic process;biosynthetic process;organic cyclic compound biosynthetic process;regulation of cellular process;primary metabolic process;nucleic acid metabolic process;regulation of biosynthetic process;nucleobase-containing compound metabolic process;cellular nitrogen compound metabolic process;heterocycle biosynthetic process;organic substance metabolic process;obsolete regulation of cellular macromolecule biosynthetic process;regulation of DNA-templated transcription;macromolecule metabolic process;heterocycle metabolic process;macromolecule biosynthetic process"
QW917_007700	"protein-containing complex;vesicle;membrane;endomembrane system;intracellular membrane-bounded organelle;intracellular anatomical structure;vacuole;intracellular organelle;membrane-bounded organelle;organelle;intracellular vesicle;cytoplasm;early endosome;plasma membrane;recycling endosome;endosome;cell periphery;cytoplasmic vesicle;cellular anatomical entity;alpha-tubulin binding;protein binding;tubulin binding;cytoskeletal protein binding;binding;organelle organization;cellular process;actin filament organization;vesicle-mediated transport;localization;cytoskeleton organization;actin cytoskeleton organization;Arp2/3 complex-mediated actin nucleation;intracellular transport;localization within membrane;exocytic process;retrograde transport, endosome to Golgi;exocytosis;vesicle fusion;endosomal transport;cellular component organization;organelle membrane fusion;cytosolic transport;organelle fusion;membrane fusion;secretion by cell;membrane organization;actin filament-based process;vesicle fusion to plasma membrane;export from cell;vesicle-mediated transport to the plasma membrane;cellular localization;secretion;transport;cellular component organization or biogenesis;vesicle organization;establishment of localization;supramolecular fiber organization;establishment of localization in cell;endocytic recycling"
QW917_007708	"mitochondrion;membrane;cytoplasm;intracellular membrane-bounded organelle;intracellular organelle;membrane-bounded organelle;intracellular anatomical structure;organelle;cellular anatomical entity;binding;protein binding;unfolded protein binding;nucleoside triphosphate metabolic process;cellular component assembly;monoatomic cation transmembrane transport;generation of precursor metabolites and energy;nucleotide biosynthetic process;nucleobase-containing compound biosynthetic process;cellular component organization;organophosphate biosynthetic process;electron transport chain;nucleoside triphosphate biosynthetic process;nitrogen compound metabolic process;cellular metabolic process;proton motive force-driven ATP synthesis;energy coupled proton transport, down electrochemical gradient;ribonucleoside triphosphate metabolic process;purine ribonucleoside triphosphate metabolic process;protein-containing complex assembly;transport;organic substance metabolic process;establishment of localization;monoatomic ion transport;oxidative phosphorylation;purine-containing compound biosynthetic process;organelle organization;ribose phosphate biosynthetic process;phosphorus metabolic process;respiratory electron transport chain;cellular respiration;cellular biosynthetic process;aerobic respiration;small molecule metabolic process;organonitrogen compound metabolic process;purine nucleotide biosynthetic process;organic cyclic compound biosynthetic process;purine ribonucleoside triphosphate biosynthetic process;biosynthetic process;mitochondrial respiratory chain complex I assembly;purine ribonucleotide biosynthetic process;purine nucleoside triphosphate biosynthetic process;mitochondrial ATP synthesis coupled electron transport;ATP synthesis coupled electron transport;aromatic compound biosynthetic process;cellular component biogenesis;ATP biosynthetic process;organic substance biosynthetic process;monoatomic cation transport;nucleoside phosphate metabolic process;metabolic process;proton transmembrane transport;ATP metabolic process;organic cyclic compound metabolic process;energy derivation by oxidation of organic compounds;purine-containing compound metabolic process;carbohydrate derivative biosynthetic process;phosphate-containing compound metabolic process;inorganic ion transmembrane transport;cellular nitrogen compound biosynthetic process;ribonucleotide metabolic process;nucleotide metabolic process;purine nucleotide metabolic process;heterocycle biosynthetic process;purine nucleoside triphosphate metabolic process;protein-containing complex assembly;inorganic cation transmembrane transport;mitochondrion organization;mitochondrial respiratory chain complex assembly;nucleobase-containing compound metabolic process;ribose phosphate metabolic process;cellular process;localization;aerobic electron transport chain;ribonucleotide biosynthetic process;organophosphate metabolic process;nucleobase-containing small molecule metabolic process;carbohydrate derivative metabolic process;monoatomic ion transmembrane transport;organonitrogen compound biosynthetic process;cellular aromatic compound metabolic process;mitochondrial electron transport, NADH to ubiquinone;protein-containing complex organization;primary metabolic process;cellular nitrogen compound metabolic process;purine ribonucleotide metabolic process;cellular component organization or biogenesis;nucleoside phosphate biosynthetic process;transmembrane transport;heterocycle metabolic process;ribonucleoside triphosphate biosynthetic process"
QW917_007709	"mitochondrion;membrane;cytoplasm;intracellular membrane-bounded organelle;intracellular organelle;membrane-bounded organelle;intracellular anatomical structure;organelle;cellular anatomical entity;transferase activity;catalytic activity;transferase activity, transferring phosphorus-containing groups;cellular process;lipid biosynthetic process;glycerolipid biosynthetic process;organic substance biosynthetic process;phosphorus metabolic process;organophosphate metabolic process;metabolic process;organophosphate biosynthetic process;cellular biosynthetic process;cellular metabolic process;phosphate-containing compound metabolic process;biosynthetic process;glycerophospholipid metabolic process;primary metabolic process;phospholipid metabolic process;organic substance metabolic process;glycerophospholipid biosynthetic process;phospholipid biosynthetic process;lipid metabolic process;glycerolipid metabolic process;cellular lipid metabolic process;cardiolipin biosynthetic process"
QW917_007709	"mitochondrion;membrane;cytoplasm;intracellular membrane-bounded organelle;intracellular organelle;membrane-bounded organelle;intracellular anatomical structure;organelle;cellular anatomical entity;transferase activity;catalytic activity;transferase activity, transferring phosphorus-containing groups;cellular process;lipid biosynthetic process;glycerolipid biosynthetic process;organic substance biosynthetic process;phosphorus metabolic process;organophosphate metabolic process;metabolic process;organophosphate biosynthetic process;cellular biosynthetic process;cellular metabolic process;phosphate-containing compound metabolic process;biosynthetic process;glycerophospholipid metabolic process;primary metabolic process;phospholipid metabolic process;organic substance metabolic process;glycerophospholipid biosynthetic process;phospholipid biosynthetic process;lipid metabolic process;glycerolipid metabolic process;cellular lipid metabolic process;cardiolipin biosynthetic process"
QW917_007712	"membrane-enclosed lumen;intracellular anatomical structure;nucleus;nucleolus;non-membrane-bounded organelle;membrane;intracellular membrane-bounded organelle;intracellular organelle lumen;organelle lumen;intracellular organelle;intracellular non-membrane-bounded organelle;membrane-bounded organelle;nuclear lumen;organelle;cellular anatomical entity;demethylase activity;oxidoreductase activity;catalytic activity;catalytic activity, acting on a protein;histone demethylase activity;protein modification process;histone modification;cellular process;organic substance metabolic process;metabolic process;organonitrogen compound metabolic process;cellular metabolic process;nitrogen compound metabolic process;obsolete cellular macromolecule metabolic process;protein demethylation;protein dealkylation;macromolecule modification;protein modification process;protein metabolic process;protein metabolic process;macromolecule metabolic process;demethylation;primary metabolic process"
QW917_007712	"membrane-enclosed lumen;intracellular anatomical structure;nucleus;nucleolus;non-membrane-bounded organelle;membrane;intracellular membrane-bounded organelle;intracellular organelle lumen;organelle lumen;intracellular organelle;intracellular non-membrane-bounded organelle;membrane-bounded organelle;nuclear lumen;organelle;cellular anatomical entity;demethylase activity;oxidoreductase activity;catalytic activity;catalytic activity, acting on a protein;histone demethylase activity;protein modification process;histone modification;cellular process;organic substance metabolic process;metabolic process;organonitrogen compound metabolic process;cellular metabolic process;nitrogen compound metabolic process;obsolete cellular macromolecule metabolic process;protein demethylation;protein dealkylation;macromolecule modification;protein modification process;protein metabolic process;protein metabolic process;macromolecule metabolic process;demethylation;primary metabolic process"
QW917_007713	obsolete intrinsic component of plasma membrane;plasma membrane protein complex;cation channel complex;protein-containing complex;obsolete intrinsic component of membrane;plasma membrane;plasma membrane;membrane protein complex;transporter complex;cell periphery;membrane;transmembrane transporter complex;monoatomic ion channel complex;membrane;cellular anatomical entity;monoatomic cation transmembrane transporter activity;protein binding;calcium-activated potassium channel activity;monoatomic ion transmembrane transporter activity;monoatomic cation channel activity;channel activity;potassium channel activity;passive transmembrane transporter activity;transporter activity;binding;monoatomic ion channel activity;channel regulator activity;metal ion transmembrane transporter activity;molecular function regulator activity;inorganic cation transmembrane transporter activity;gated channel activity;potassium ion transmembrane transporter activity;calcium activated cation channel activity;potassium channel regulator activity;inorganic molecular entity transmembrane transporter activity;transmembrane transporter activity;monoatomic ion gated channel activity;detection of stimulus;response to chemical;response to stimulus
QW917_007715	membrane;cellular anatomical entity;monoatomic cation transmembrane transporter activity;monoatomic cation channel activity;metal ion transmembrane transporter activity;channel activity;inorganic cation transmembrane transporter activity;calcium channel activity;calcium ion transmembrane transporter activity;passive transmembrane transporter activity;transporter activity;inorganic molecular entity transmembrane transporter activity;transmembrane transporter activity;monoatomic ion transmembrane transporter activity;monoatomic ion channel activity;detection of stimulus;detection of mechanical stimulus;response to abiotic stimulus;response to external stimulus;response to mechanical stimulus;response to stimulus
QW917_007716	membrane;cellular anatomical entity;monoatomic cation transmembrane transporter activity;monoatomic cation channel activity;metal ion transmembrane transporter activity;channel activity;inorganic cation transmembrane transporter activity;calcium channel activity;calcium ion transmembrane transporter activity;passive transmembrane transporter activity;transporter activity;inorganic molecular entity transmembrane transporter activity;transmembrane transporter activity;monoatomic ion transmembrane transporter activity;monoatomic ion channel activity;detection of stimulus;detection of mechanical stimulus;response to abiotic stimulus;response to external stimulus;response to mechanical stimulus;response to stimulus
QW917_007719	membrane;cellular anatomical entity;monoatomic cation transmembrane transporter activity;monoatomic cation channel activity;metal ion transmembrane transporter activity;channel activity;inorganic cation transmembrane transporter activity;calcium channel activity;calcium ion transmembrane transporter activity;passive transmembrane transporter activity;transporter activity;inorganic molecular entity transmembrane transporter activity;transmembrane transporter activity;monoatomic ion transmembrane transporter activity;monoatomic ion channel activity;detection of stimulus;detection of mechanical stimulus;response to abiotic stimulus;response to external stimulus;response to mechanical stimulus;response to stimulus
QW917_007720	membrane;cellular anatomical entity;monoatomic cation transmembrane transporter activity;monoatomic cation channel activity;metal ion transmembrane transporter activity;channel activity;inorganic cation transmembrane transporter activity;calcium channel activity;calcium ion transmembrane transporter activity;passive transmembrane transporter activity;transporter activity;inorganic molecular entity transmembrane transporter activity;transmembrane transporter activity;monoatomic ion transmembrane transporter activity;monoatomic ion channel activity;detection of stimulus;detection of mechanical stimulus;response to abiotic stimulus;response to external stimulus;response to mechanical stimulus;response to stimulus
QW917_007720	membrane;cellular anatomical entity;monoatomic cation transmembrane transporter activity;monoatomic cation channel activity;metal ion transmembrane transporter activity;channel activity;inorganic cation transmembrane transporter activity;calcium channel activity;calcium ion transmembrane transporter activity;passive transmembrane transporter activity;transporter activity;inorganic molecular entity transmembrane transporter activity;transmembrane transporter activity;monoatomic ion transmembrane transporter activity;monoatomic ion channel activity;detection of stimulus;detection of mechanical stimulus;response to abiotic stimulus;response to external stimulus;response to mechanical stimulus;response to stimulus
QW917_007720	membrane;cellular anatomical entity;monoatomic cation transmembrane transporter activity;monoatomic cation channel activity;metal ion transmembrane transporter activity;channel activity;inorganic cation transmembrane transporter activity;calcium channel activity;calcium ion transmembrane transporter activity;passive transmembrane transporter activity;transporter activity;inorganic molecular entity transmembrane transporter activity;transmembrane transporter activity;monoatomic ion transmembrane transporter activity;monoatomic ion channel activity;detection of stimulus;detection of mechanical stimulus;response to abiotic stimulus;response to external stimulus;response to mechanical stimulus;response to stimulus
QW917_007722	membrane;cellular anatomical entity;monoatomic cation transmembrane transporter activity;monoatomic cation channel activity;metal ion transmembrane transporter activity;channel activity;inorganic cation transmembrane transporter activity;calcium channel activity;calcium ion transmembrane transporter activity;passive transmembrane transporter activity;transporter activity;inorganic molecular entity transmembrane transporter activity;transmembrane transporter activity;monoatomic ion transmembrane transporter activity;monoatomic ion channel activity;detection of stimulus;detection of mechanical stimulus;response to abiotic stimulus;response to external stimulus;response to mechanical stimulus;response to stimulus
QW917_007723	membrane;cellular anatomical entity;monoatomic cation transmembrane transporter activity;monoatomic cation channel activity;metal ion transmembrane transporter activity;channel activity;inorganic cation transmembrane transporter activity;calcium channel activity;calcium ion transmembrane transporter activity;passive transmembrane transporter activity;transporter activity;inorganic molecular entity transmembrane transporter activity;transmembrane transporter activity;monoatomic ion transmembrane transporter activity;monoatomic ion channel activity;detection of stimulus;detection of mechanical stimulus;response to abiotic stimulus;response to external stimulus;response to mechanical stimulus;response to stimulus
QW917_007725	membrane;cellular anatomical entity;monoatomic cation transmembrane transporter activity;monoatomic cation channel activity;metal ion transmembrane transporter activity;channel activity;inorganic cation transmembrane transporter activity;calcium channel activity;calcium ion transmembrane transporter activity;passive transmembrane transporter activity;transporter activity;inorganic molecular entity transmembrane transporter activity;transmembrane transporter activity;monoatomic ion transmembrane transporter activity;monoatomic ion channel activity;detection of stimulus;detection of mechanical stimulus;response to abiotic stimulus;response to external stimulus;response to mechanical stimulus;response to stimulus
QW917_007727	intracellular anatomical structure;protein-containing complex;transcription regulator complex;membrane;intracellular membrane-bounded organelle;intracellular organelle;membrane-bounded organelle;nucleus;organelle;cellular anatomical entity;obsolete cellular macromolecule biosynthetic process;regulation of RNA biosynthetic process;cellular process;obsolete regulation of nucleic acid-templated transcription;transcription by RNA polymerase II;regulation of transcription by RNA polymerase II;aromatic compound biosynthetic process;RNA metabolic process;organic substance biosynthetic process;regulation of metabolic process;metabolic process;obsolete nucleic acid-templated transcription;regulation of cellular biosynthetic process;nucleobase-containing compound biosynthetic process;RNA biosynthetic process;regulation of nitrogen compound metabolic process;organic cyclic compound metabolic process;gene expression;biological regulation;cellular biosynthetic process;DNA-templated transcription;nitrogen compound metabolic process;cellular metabolic process;regulation of cellular metabolic process;cellular aromatic compound metabolic process;regulation of RNA metabolic process;regulation of primary metabolic process;regulation of macromolecule metabolic process;regulation of biological process;obsolete cellular macromolecule metabolic process;regulation of gene expression;regulation of nucleobase-containing compound metabolic process;regulation of macromolecule biosynthetic process;cellular nitrogen compound biosynthetic process;biosynthetic process;organic cyclic compound biosynthetic process;regulation of cellular process;primary metabolic process;nucleic acid metabolic process;regulation of biosynthetic process;nucleobase-containing compound metabolic process;cellular nitrogen compound metabolic process;heterocycle biosynthetic process;organic substance metabolic process;obsolete regulation of cellular macromolecule biosynthetic process;regulation of DNA-templated transcription;macromolecule metabolic process;heterocycle metabolic process;macromolecule biosynthetic process
QW917_007728	membrane;cellular anatomical entity;monoatomic cation transmembrane transporter activity;monoatomic cation channel activity;metal ion transmembrane transporter activity;channel activity;inorganic cation transmembrane transporter activity;calcium channel activity;calcium ion transmembrane transporter activity;passive transmembrane transporter activity;transporter activity;inorganic molecular entity transmembrane transporter activity;transmembrane transporter activity;monoatomic ion transmembrane transporter activity;monoatomic ion channel activity;detection of stimulus;detection of mechanical stimulus;response to abiotic stimulus;response to external stimulus;response to mechanical stimulus;response to stimulus
QW917_007730	protein binding;microtubule binding;tubulin binding;cytoskeletal protein binding;binding
QW917_007732	catalytic activity;transferase activity;glycosyltransferase activity
QW917_007733	"cytosol;cytoplasm;intracellular anatomical structure;cellular anatomical entity;phosphotransferase activity, alcohol group as acceptor;non-membrane spanning protein tyrosine kinase activity;kinase activity;transferase activity;protein binding;cytokine receptor binding;protein kinase activity;binding;signaling receptor binding;catalytic activity;catalytic activity, acting on a protein;protein tyrosine kinase activity;transferase activity, transferring phosphorus-containing groups;cellular process;protein phosphorylation;cellular response to chemical stimulus;hematopoietic or lymphoid organ development;macromolecule modification;response to stimulus;signal transduction;peptidyl-amino acid modification;phosphorus metabolic process;cytokine-mediated signaling pathway;metabolic process;cellular response to cytokine stimulus;cell communication;peptidyl-tyrosine modification;protein metabolic process;protein metabolic process;biological regulation;receptor signaling pathway via STAT;anatomical structure development;response to cytokine;multicellular organism development;cell surface receptor signaling pathway;developmental process;nitrogen compound metabolic process;hemopoiesis;organonitrogen compound metabolic process;cellular metabolic process;response to chemical;system development;receptor signaling pathway via JAK-STAT;obsolete cellular macromolecule metabolic process;phosphate-containing compound metabolic process;regulation of biological process;multicellular organismal process;animal organ development;protein modification process;regulation of cellular process;cellular response to stimulus;cellular developmental process;primary metabolic process;signaling;cellular response to organic substance;protein modification process;phosphorylation;organic substance metabolic process;response to organic substance;cell differentiation;immune system process;immune system development;macromolecule metabolic process;peptidyl-tyrosine phosphorylation;intracellular signal transduction"
